model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Apple MacBook Air 13 Z15T000E1 Z15W000RH Z15Z000E0 Z160000RD Z15S000TE ,Apple,לא רלוונטי,MacOS,לא זמין,16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7190,7586,7388.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1168681,9/2022
  Apple MacBook Air 13 MGNE3HB/A MGNA3HB/A MGN73HB/A ,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4985,5390,5187.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1100593,1/2021
  Apple MacBook Pro 13 Z11B00071 Z11D0005L ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5749,6877,6313.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1101608,1/2021
  Apple MacBook Pro 16 M2 Pro Z174000YZ ,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",32 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11779,14200,12989.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1184937,2/2023
  Apple MacBook Pro 16 Z14V000E8 Z14Y000E7 ,Apple,לא רלוונטי,ללא,"2.2 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,10185,20998,15591.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149859,4/2022
  Apple MacBook Pro 16 M1 Max Z14X0006T ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11423,13800,12611.5,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1151726,4/2022
  Apple MacBook Pro 16 Z14V000E7 Z14Y000E6 ,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,9792,13064,11428.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1149858,4/2022
  Apple MacBook Air 13 Z1250009Q Z1280006B Z12B0006B ,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,"LED, IPS",60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5558,6750,6154.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1102153,1/2021
  Apple MacBook Air 13 Z15W000RG ,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6358,7080,6719.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181714,1/2023
  Apple MacBook Pro 13 M2 Z16T000HE ,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6249,6373,6311.0,"(2023, 6, 14)",https://www.zap.co.il/compmodels.aspx?modelid=1181594,1/2023
