model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Dell Vostro 3520 V3520-7069 ,Dell,לא רלוונטי,ללא,"1.66 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3255,4199,3727.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1175358,11/2022
  Dell Latitude 5530 LT-RD33-13973 ,Dell,לא רלוונטי,Windows 10 PRO,"1.59 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,4499,6098,5298.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1173578,11/2022
  Dell Vostro 3520 V3520-7338 ,Dell,לא רלוונטי,Windows 11 Home,"1.66 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3789,4399,4094.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1175356,11/2022
  Dell Vostro 3510 V3510-6086 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2634,3313,2973.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1185356,2/2023
  Dell Vostro 3510 VM-RD09-13458 ,Dell,לא רלוונטי,ללא,"1.69 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1775,2542,2158.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1145650,3/2022
  Dell Vostro 3510 VM-RD09-14080 ,Dell,לא רלוונטי,Windows 11 Home,"1.69 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1979,2490,2234.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1180767,1/2023
  Dell Vostro 3510 V3510-6158 ,Dell,לא רלוונטי,Windows 11 Pro,"1.69 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2790,3610,3200.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1141430,2/2022
  Dell Vostro 3510 VM-RD09-14082 ,Dell,לא רלוונטי,Windows 11 Pro,"1.69 ק""ג",8 GB,4.2Ghz,1135G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2770,3100,2935.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1180826,1/2023
  Dell Latitude 5430 L5430-6334 ,Dell,לא רלוונטי,Windows 10 PRO,"1.36 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,4790,5686,5238.0,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1161477,7/2022
  Dell Vostro 14 5000 V5410-5413 ,Dell,לא רלוונטי,Windows 11 Home,"1.44 ק""ג",8 GB,3.2Ghz,11320H,דור 11,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3243,3590,3416.5,"(2023, 6, 13)",https://www.zap.co.il/model.aspx?modelid=1138425,1/2022
